vectorizer,similarity_metric,min_df_param,max_df_param,language,langfilter,accuracy (%),accuracy (average relevancy > 0) (%),ndcg,ndcg (full rank)
tfidf,cosine,0.0,0.7,java,False,22.878228782287824,23.569794050343248,0.21933221822331725,0.1017504057318828
tfidf,cosine,0.2,0.8,go,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.01,0.7,go,True,2.4096385542168677,1.9230769230769231,0.013067040369730073,0.0023935196366575997
tfidf,cosine,0.5,0.9,python,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.1,0.4,go,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.01,1.0,go,False,3.0120481927710845,1.9230769230769231,0.013067040369730073,0.0024433693633815327
tfidf,cosine,0.1,1.0,java,False,0.36900369003690037,0.0,0.0,0.0
tfidf,cosine,0.3,0.8,javascript,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.05,0.8,go,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.3,0.6,go,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.4,0.9,javascript,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.1,1.0,go,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.01,0.4,python,False,5.763397371081901,6.370875995449373,0.08226086281464104,0.031395144756297344
tfidf,cosine,50,0.9,python,True,24.469160768452983,25.597269624573375,0.29067596010470753,0.14669440864036992
tfidf,cosine,100,1.0,python,True,24.469160768452983,25.483503981797494,0.28485839171554095,0.14693658391331924
tfidf,cosine,0.05,0.5,java,True,0.12300123001230012,0.0,0.0,0.0
tfidf,cosine,0.4,1.0,java,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.0,0.7,python,False,22.143579373104146,23.208191126279864,0.2704019450732699,0.14624053670692858
tfidf,cosine,0.1,1.0,python,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.3,0.8,go,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.0,0.9,python,True,22.143579373104146,23.208191126279864,0.2704019450732699,0.14624053670692858
tfidf,cosine,50,1.0,python,True,24.469160768452983,25.597269624573375,0.29067596010470753,0.1469597831029861
tfidf,cosine,100,0.8,python,True,24.3680485338726,25.369738339021612,0.28285959738937944,0.14628658741892564
tfidf,cosine,0.6,0.8,python,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.3,0.4,go,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.05,0.8,javascript,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.5,0.6,python,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.1,0.9,java,False,0.36900369003690037,0.0,0.0,0.0
tfidf,cosine,0.2,0.5,python,False,0.0,0.0,0.0,0.0
tfidf,cosine,50,0.8,java,True,24.477244772447722,23.112128146453088,0.20299232890605198,0.10100659330368233
tfidf,cosine,0.0,0.6,java,True,22.75522755227552,23.569794050343248,0.21777995785974724,0.10104856855549592
tfidf,cosine,0.01,0.9,java,True,3.936039360393604,4.576659038901601,0.055615643444455715,0.021686247939834563
tfidf,cosine,200,0.9,javascript,True,22.25705329153605,24.69879518072289,0.18969714516028338,0.08178302711864867
tfidf,cosine,900,1.0,java,True,18.45018450184502,17.84897025171625,0.16182607302043803,0.08103195922337178
tfidf,cosine,0.1,0.9,javascript,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.2,0.7,python,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.2,0.6,go,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.5,0.6,java,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.05,0.6,javascript,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.4,0.6,go,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.3,0.7,javascript,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.01,0.5,java,True,4.305043050430505,4.805491990846682,0.05939632124677782,0.022127402243632553
tfidf,cosine,0.2,0.8,python,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.05,0.7,java,False,0.12300123001230012,0.0,0.0,0.0
tfidf,cosine,0.0,0.5,java,True,22.509225092250922,23.112128146453088,0.21446121915714947,0.10050225625322123
tfidf,cosine,0.2,0.5,javascript,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.4,1.0,javascript,True,0.0,0.0,0.0,0.0
